Date,State_name_from,State_name_to,n
February-2020,Idaho,Connecticut,230
February-2020,Idaho,Florida,6072
February-2020,Idaho,Idaho,272
February-2020,Idaho,Illinois,3464
February-2020,Idaho,Maryland,946
February-2020,Idaho,Massachusetts,1426
February-2020,Idaho,Michigan,511
February-2020,Idaho,Minnesota,1862
February-2020,Idaho,New_Orleans,876
February-2020,Idaho,New_York,3648
February-2020,Idaho,Other_Louisiana,189
February-2020,Idaho,Pennsylvania,1783
February-2020,Idaho,Shreveport_Bossier,40
February-2020,Idaho,Texas,10692
February-2020,Idaho,Utah,4390
February-2020,Idaho,Virginia,649
February-2020,Idaho,Washington,29005
February-2020,Idaho,Wisconsin,1054
February-2020,Illinois,Alaska,1600
February-2020,Illinois,Arizona,76195
February-2020,Illinois,California,197357
February-2020,Illinois,Connecticut,6321
February-2020,Illinois,Florida,359111
February-2020,Illinois,Idaho,3582
February-2020,Illinois,Illinois,3627
February-2020,Illinois,Maryland,23368
February-2020,Illinois,Massachusetts,49168
February-2020,Illinois,Michigan,7239
February-2020,Illinois,Minnesota,43295
February-2020,Illinois,New_Orleans,25948
February-2020,Illinois,New_York,139656
February-2020,Illinois,Other_Louisiana,1508
February-2020,Illinois,Pennsylvania,50761
February-2020,Illinois,Shreveport_Bossier,485
February-2020,Illinois,Texas,168274
February-2020,Illinois,Utah,15805
February-2020,Illinois,Virginia,10987
February-2020,Illinois,Washington,30452
February-2020,Illinois,Wisconsin,3443
February-2020,Maryland,Alaska,519
February-2020,Maryland,Arizona,13319
February-2020,Maryland,California,59042
February-2020,Maryland,Connecticut,4446
February-2020,Maryland,Florida,163244
February-2020,Maryland,Idaho,1004
February-2020,Maryland,Illinois,26161
February-2020,Maryland,Maryland,1
February-2020,Maryland,Massachusetts,22934
February-2020,Maryland,Michigan,2574
February-2020,Maryland,Minnesota,6593
February-2020,Maryland,New_Orleans,9909
February-2020,Maryland,New_York,11282
February-2020,Maryland,Other_Louisiana,700
February-2020,Maryland,Pennsylvania,3847
February-2020,Maryland,Shreveport_Bossier,272
February-2020,Maryland,Texas,59499
February-2020,Maryland,Utah,6015
February-2020,Maryland,Virginia,1194
February-2020,Maryland,Washington,5119
February-2020,Maryland,Wisconsin,3312
February-2020,Massachusetts,Alaska,1543
February-2020,Massachusetts,Arizona,20650
February-2020,Massachusetts,California,129486
February-2020,Massachusetts,Connecticut,2
February-2020,Massachusetts,Florida,232278
February-2020,Massachusetts,Idaho,1485
February-2020,Massachusetts,Illinois,47590
February-2020,Massachusetts,Maryland,23355
February-2020,Massachusetts,Massachusetts,3187
February-2020,Massachusetts,Michigan,2640
February-2020,Massachusetts,Minnesota,18789
February-2020,Massachusetts,New_Orleans,9562
February-2020,Massachusetts,New_York,82125
February-2020,Massachusetts,Other_Louisiana,841
February-2020,Massachusetts,Pennsylvania,49837
February-2020,Massachusetts,Shreveport_Bossier,256
February-2020,Massachusetts,Texas,62605
February-2020,Massachusetts,Utah,11368
February-2020,Massachusetts,Virginia,11933
February-2020,Massachusetts,Washington,19222
February-2020,Massachusetts,Wisconsin,9042
February-2020,Michigan,Alaska,354
February-2020,Michigan,Arizona,12732
February-2020,Michigan,California,14567
February-2020,Michigan,Connecticut,1009
February-2020,Michigan,Florida,75969
February-2020,Michigan,Idaho,527
February-2020,Michigan,Illinois,7790
February-2020,Michigan,Maryland,2812
February-2020,Michigan,Massachusetts,2715
February-2020,Michigan,Michigan,816
February-2020,Michigan,Minnesota,5551
February-2020,Michigan,New_Orleans,2260
February-2020,Michigan,New_York,10569
February-2020,Michigan,Other_Louisiana,403
February-2020,Michigan,Pennsylvania,4714
February-2020,Michigan,Shreveport_Bossier,182
February-2020,Michigan,Texas,14509
February-2020,Michigan,Utah,1791
February-2020,Michigan,Virginia,1884
February-2020,Michigan,Washington,3149
February-2020,Michigan,Wisconsin,1554
February-2020,Minnesota,Alaska,2113
February-2020,Minnesota,Arizona,56804
February-2020,Minnesota,California,79547
February-2020,Minnesota,Connecticut,2941
February-2020,Minnesota,Florida,156859
February-2020,Minnesota,Idaho,1984
February-2020,Minnesota,Illinois,44198
February-2020,Minnesota,Maryland,9339
February-2020,Minnesota,Massachusetts,18764
February-2020,Minnesota,Michigan,5325
February-2020,Minnesota,Minnesota,2092
February-2020,Minnesota,New_Orleans,6806
February-2020,Minnesota,New_York,41026
February-2020,Minnesota,Other_Louisiana,701
February-2020,Minnesota,Pennsylvania,12687
February-2020,Minnesota,Shreveport_Bossier,201
February-2020,Minnesota,Texas,53216
February-2020,Minnesota,Utah,8350
February-2020,Minnesota,Virginia,3416
February-2020,Minnesota,Washington,14608
February-2020,Minnesota,Wisconsin,6588
February-2020,New_Orleans,Alaska,863
February-2020,New_Orleans,Arizona,10022
February-2020,New_Orleans,California,46606
February-2020,New_Orleans,Connecticut,1669
February-2020,New_Orleans,Florida,50312
February-2020,New_Orleans,Idaho,824
February-2020,New_Orleans,Illinois,22860
February-2020,New_Orleans,Maryland,11369
February-2020,New_Orleans,Massachusetts,10248
February-2020,New_Orleans,Michigan,2216
February-2020,New_Orleans,Minnesota,7362
February-2020,New_Orleans,New_York,39734
February-2020,New_Orleans,Other_Louisiana,13
February-2020,New_Orleans,Pennsylvania,12820
February-2020,New_Orleans,Shreveport_Bossier,150
February-2020,New_Orleans,Texas,69761
February-2020,New_Orleans,Utah,3676
February-2020,New_Orleans,Virginia,5007
February-2020,New_Orleans,Washington,8681
February-2020,New_Orleans,Wisconsin,2930
February-2020,New_York,Alaska,2501
February-2020,New_York,Arizona,61686
February-2020,New_York,California,427758
February-2020,New_York,Connecticut,621
February-2020,New_York,Florida,1013314
February-2020,New_York,Idaho,3651
February-2020,New_York,Illinois,137746
February-2020,New_York,Maryland,10878
February-2020,New_York,Massachusetts,80335
February-2020,New_York,Michigan,9998
February-2020,New_York,Minnesota,42425
February-2020,New_York,New_Orleans,44535
February-2020,New_York,New_York,79969
February-2020,New_York,Other_Louisiana,3097
February-2020,New_York,Pennsylvania,32204
February-2020,New_York,Shreveport_Bossier,962
February-2020,New_York,Texas,229678
February-2020,New_York,Utah,37076
February-2020,New_York,Virginia,33672
February-2020,New_York,Washington,46249
February-2020,New_York,Wisconsin,25155
February-2020,Other_Louisiana,Alaska,365
February-2020,Other_Louisiana,Arizona,1752
February-2020,Other_Louisiana,California,5749
February-2020,Other_Louisiana,Connecticut,302
February-2020,Other_Louisiana,Florida,6293
February-2020,Other_Louisiana,Idaho,207
February-2020,Other_Louisiana,Illinois,1580
February-2020,Other_Louisiana,Maryland,708
February-2020,Other_Louisiana,Massachusetts,832
February-2020,Other_Louisiana,Michigan,393
February-2020,Other_Louisiana,Minnesota,712
February-2020,Other_Louisiana,New_Orleans,16
February-2020,Other_Louisiana,New_York,3177
February-2020,Other_Louisiana,Other_Louisiana,3
February-2020,Other_Louisiana,Pennsylvania,1988
February-2020,Other_Louisiana,Shreveport_Bossier,16
February-2020,Other_Louisiana,Texas,11187
February-2020,Other_Louisiana,Utah,841
February-2020,Other_Louisiana,Virginia,1126
February-2020,Other_Louisiana,Washington,1120
February-2020,Other_Louisiana,Wisconsin,654
February-2020,Pennsylvania,Alaska,1345
February-2020,Pennsylvania,Arizona,30548
February-2020,Pennsylvania,California,101747
February-2020,Pennsylvania,Connecticut,3138
February-2020,Pennsylvania,Florida,382737
February-2020,Pennsylvania,Idaho,1831
February-2020,Pennsylvania,Illinois,49009
February-2020,Pennsylvania,Maryland,2354
February-2020,Pennsylvania,Massachusetts,48193
February-2020,Pennsylvania,Michigan,4627
February-2020,Pennsylvania,Minnesota,13387
February-2020,Pennsylvania,New_Orleans,13604
February-2020,Pennsylvania,New_York,30087
February-2020,Pennsylvania,Other_Louisiana,1979
February-2020,Pennsylvania,Pennsylvania,11819
February-2020,Pennsylvania,Shreveport_Bossier,605
February-2020,Pennsylvania,Texas,87011
