Date,Origin Airport,Origin City,Origin Country,Destination Airport,Destination City,Destination Country,Total Volume,Direct Volume,Destination Lat,Destination Long,Origin Lat,Origin Long
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Denver International Airport, CO, US",Denver,United States,33,0,39.7,-105.0,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Cincinnati/Northern Kentucky International Airport, OH, US",Cincinnati,United States,33,0,39.1,-84.5,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Minneapolis-St Paul International/Wold-Chamberlain Airport, MN, US",Minneapolis/St Paul,United States,33,0,45.0,-93.3,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"San Francisco International Airport, CA, US",San Francisco,United States,32,0,37.8,-122.4,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Ontario International Airport, CA, US",Ontario,United States,32,0,34.1,-117.7,30.0,-90.1
April-2020,"Shreveport Regional Airport, LA, US",Shreveport,United States,"Orlando International Airport, FL, US",Orlando,United States,32,0,28.5,-81.4,32.5,-93.8
April-2020,"Shreveport Regional Airport, LA, US",Shreveport,United States,"Denver International Airport, CO, US",Denver,United States,31,20,39.7,-105.0,32.5,-93.8
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Jacksonville International Airport, FL, US",Jacksonville,United States,31,0,30.3,-81.7,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Bradley International Airport, CT, US",Hartford,United States,31,0,41.8,-72.7,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"El Paso International Airport, TX, US",El Paso,United States,31,0,31.8,-106.5,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Adams Field, AR, US",Little Rock,United States,30,0,34.7,-92.3,30.0,-90.1
April-2020,"Lafayette Regional Airport, LA, US",Lafayette,United States,"Midland International Airport, TX, US",Midland,United States,30,0,32.0,-102.1,30.2,-92.0
April-2020,"Lafayette Regional Airport, LA, US",Lafayette,United States,"Midland International Airport, TX, US",Midland,United States,29,0,32.0,-102.1,30.2,-92.0
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Charleston International Airport, SC, US",Charleston,United States,29,0,32.8,-79.9,30.0,-90.1
April-2020,"Shreveport Regional Airport, LA, US",Shreveport,United States,"Chicago O'Hare International Airport, IL, US",Chicago,United States,29,0,41.9,-87.7,32.5,-93.8
April-2020,"Baton Rouge Metropolitan Airport, LA, US",Baton Rouge,United States,"Los Angeles International Airport, CA, US",Los Angeles,United States,27,0,34.1,-118.2,30.5,-91.2
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Jacksonville International Airport, FL, US",Jacksonville,United States,27,0,30.3,-81.7,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"San Francisco International Airport, CA, US",San Francisco,United States,27,23,37.8,-122.4,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Norman Y. Mineta San José International Airport, CA, US",San Jose,United States,27,0,37.3,-121.9,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Richmond International Airport, VA, US",Richmond,United States,27,0,37.6,-77.5,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Seattle-Tacoma International Airport, WA, US",Seattle,United States,27,0,47.6,-122.3,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Salt Lake City International Airport, UT, US",Salt Lake City,United States,26,0,40.8,-111.9,30.0,-90.1
