group,time,confirmed,confirmed_rolling,population,travel_infectious,travel_infectious_lower,travel_infectious_upper,infectious_travellers,infectious_travellers_lower,infectious_travellers_upper,import_risk,import_risk_lower,import_risk_upper,n
Connecticut,2020-04-17,16809,919.1428571428571,3565287,57845.03179097352,40526.04033183655,85110.13812101635,0.016224509216501648,0.011366838162491982,0.023871889730340462,1.5141977985671116,1.0608420318075538,2.2279110199866117,93.32780291603822
Connecticut,2020-04-18,17550,910.1428571428571,3565287,58999.50203365562,41128.48596764481,87410.0789083664,0.016548317718505023,0.011535813517297433,0.024516982478091216,1.54441813462462,1.0766121304185046,2.288116108811259,93.32780291603822
Connecticut,2020-04-19,17962,1102,3565287,60027.141095866304,41564.73244902844,89680.99105778785,0.016836552315666678,0.011658172946253258,0.025153933205878755,1.5713184363021067,1.0880316670890127,2.347561320801442,93.32780291603822
Connecticut,2020-04-20,19815,1030.857142857143,3565287,61219.06433995819,42127.30604578891,92210.72816910679,0.01717086572271971,0.011815964898699294,0.025863479761687288,0.7469326589383074,0.5139944730934193,1.125061369633397,43.5
Connecticut,2020-04-21,20360,1016,3565287,62374.74850060542,42617.89400848676,94788.77261942171,0.01749501470726071,0.011953566152875423,0.026586575672427414,0.761033139765841,0.519980127650081,1.1565160417505924,43.5
Connecticut,2020-04-22,22469,1004.5714285714286,3565287,63455.035525856096,43001.11379272403,97362.1761515868,0.017798016127693533,0.012061052530335995,0.027308369887637882,0.7742137015546686,0.5246557850696157,1.1879140901122478,43.5
Connecticut,2020-04-23,23100,1043.857142857143,3565287,64892.795042844446,43714.84598844236,100349.45085147496,0.01820128226503068,0.012261241798610422,0.028146247651724802,0.7917557785288346,0.5333640182395534,1.224361772850029,43.5
Connecticut,2020-04-24,23921,883.1428571428571,3565287,66139.29329826368,44215.61019635205,103189.24801433434,0.018550902998345907,0.012401697309740296,0.028942760572805034,0.8069642804280469,0.5394738329737029,1.259010084917019,43.5
Connecticut,2020-04-25,24582,850.2857142857143,3565287,66836.73754420543,44150.40461317925,105513.91262466718,0.018746523784538366,0.012383408295932206,0.029594787915998677,0.8154737846274189,0.5386782608730509,1.2873732743459425,43.5
Connecticut,2020-04-26,25269,614,3565287,67323.33999689388,43861.53590671913,107654.83230906745,0.01888300717358627,0.012302385728475472,0.030195278054492514,0.8214108120510027,0.535153779188683,1.3134945953704245,43.5
Connecticut,2020-04-27,25997,657.1428571428571,3565287,68288.44269456626,44042.26446530548,110297.93916476534,0.019153701425598066,0.012353076895438006,0.030936622820200824,3.973018969372058,2.5623772525813204,6.417129858185022,207.42826052735143
Connecticut,2020-04-28,26312,691.8571428571429,3565287,69740.47460942918,44704.815902082984,113450.8176636839,0.019560970718326232,0.012538910865263578,0.03182094952347003,4.057498130328867,2.600924469689131,6.600564207982041,207.42826052735143
Connecticut,2020-04-29,26767,672.1428571428571,3565287,70475.96660376963,44649.01602589833,115909.80632855339,0.01976726322558875,0.01252325998605395,0.03251065239027135,4.100289026270156,2.597678035038954,6.743628073923366,207.42826052735143
Connecticut,2020-04-30,27700,574,3565287,71168.6397037757,44551.562163809525,118347.9626819481,0.019961545789658926,0.012495925899881138,0.033194512161839454,4.140588720586027,2.592008173091023,6.885479916784369,207.42826052735143
Connecticut,2020-05-01,28764,568,3565287,72069.75111358103,44666.51415638378,121013.85423661539,0.020214291616237636,0.01252816790243921,0.03394224763297187,4.193015347748796,2.5986960755975623,7.040581384895966,207.42826052735143
Connecticut,2020-05-02,29287,615.5714285714286,3565287,72510.28366673498,44327.28559187704,123233.35844140754,0.020337853212584283,0.012433020284728,0.03456477934073962,4.218645514746964,2.5789597707624043,7.169712054161352,207.42826052735143
Connecticut,2020-05-03,29287,604,3565287,73048.49498873047,44094.34500529112,125558.17582746154,0.020488811977473473,0.01236768456656957,0.0352168495348233,4.249958628759286,2.565407296394496,7.304969840261862,207.42826052735143
Connecticut,2020-05-04,29973,583.4285714285714,3565287,73599.11651073367,43884.545776445506,127895.46514970789,0.02064325158415961,0.012308839590317837,0.035872417886612745,5.351961623962643,3.191185112206002,9.300269538701082,259.2596230367805
Connecticut,2020-05-05,30621,521,3565287,74114.13136578142,43652.002396252225,130188.37121818219,0.020787704149983273,0.012243615281533358,0.03651553752003196,5.389412341724781,3.174275082497704,9.467004492428902,259.2596230367805
Connecticut,2020-05-06,30995,528.1428571428571,3565287,74942.92144966472,43748.15696938822,132776.08410389608,0.02102016512265765,0.01227058494011512,0.03724134525604701,5.449680085871103,3.1812672260150423,9.655177132465342,259.2596230367805
Connecticut,2020-05-07,31784,609.5714285714286,3565287,75381.3051873045,43470.76074092035,134943.34818200723,0.021143124014225082,0.012192780200000827,0.037849224531435265,5.481558361747896,3.1610955984225355,9.812775684254373,259.2596230367805
Connecticut,2020-05-08,32411,541.7142857142857,3565287,75803.93922084091,43196.362081845626,137052.5280416261,0.021261665392110343,0.012115816225130157,0.03844081220996405,5.51229135469269,3.1411419473101536,9.966150482782949,259.2596230367805
Connecticut,2020-05-09,32984,530.2857142857143,3565287,76089.67922443703,42805.44853841121,138969.46767457566,0.021341810413702186,0.01200617188417404,0.038978479902059965,5.533069722778865,3.1127155968057547,10.105546005954793,259.2596230367805
Connecticut,2020-05-10,33554,551.4285714285714,3565287,76314.83055682929,42375.18792792337,140758.70638325566,0.021404961383706077,0.011885491386225954,0.03948032974154834,5.549442219456481,3.0814280163998427,10.235655406161616,259.2596230367805
Connecticut,2020-05-11,33765,525.7142857142857,3565287,NA,NA,NA,NA,NA,NA,NA,NA,NA,294.374661692634
Connecticut,2020-05-12,34333,524.8571428571429,3565287,NA,NA,NA,NA,NA,NA,NA,NA,NA,294.374661692634
Connecticut,2020-05-13,34855,531.2857142857143,3565287,NA,NA,NA,NA,NA,NA,NA,NA,NA,294.374661692634
Connecticut,2020-05-14,35464,552.1428571428571,3565287,NA,NA,NA,NA,NA,NA,NA,NA,NA,294.374661692634
Connecticut,2020-05-15,36085,621.5714285714286,3565287,NA,NA,NA,NA,NA,NA,NA,NA,NA,294.374661692634
Florida,2020-01-06,NA,NA,21477737,0.3175401880942599,0.08080166357219185,1.0570025380693633,1.478462037663744e-8,3.762112534118089e-9,4.9213869136648954e-8,7.318291732460261e-5,1.8622214404996015e-5,2.4360547815907674e-4,4949.935504617067
Florida,2020-01-07,NA,NA,21477737,0.4609595530852728,0.1173141883723748,1.5341880657623244,2.1462203074992157e-8,5.462129849731133e-9,7.1431550994517e-8,1.0623652100820526e-4,2.703719047401282e-5,3.535815704176242e-4,4949.935504617067
Florida,2020-01-08,NA,NA,21477737,0.6141468355287009,0.1565102181170985,2.041479700584766,2.8594578447845824e-8,7.287090726415847e-9,9.505096838576457e-8,1.4154131909855e-4,3.607062911205157e-5,4.704961631609304e-4,4949.935504617067
