location,division,location_id,division_id,pangolin_lineage,prev_10_day,location_lineage,mean_growth_rate,nday_threshold,first_date,end_date
Harris,Texas,48201,TX,B.1.564,0.07829977628635347,Texas_Harris_B.1.564,0.14173825459128075,10,2020-06-08,2020-06-18
Santa Clara,California,06085,CA,B.1.14,0.07731958762886598,California_Santa Clara_B.1.14,0.03370448748668617,10,2020-03-31,2020-04-10
Alameda,California,06001,CA,B.1,0.07612456747404844,California_Alameda_B.1,-0.013006080057930003,10,2020-05-11,2020-05-21
San Diego,California,06073,CA,B.1.556,0.07520891364902507,California_San Diego_B.1.556,-0.13256635524485266,10,2020-07-06,2020-07-16
Santa Clara,California,06085,CA,B.1.427,0.07474226804123711,California_Santa Clara_B.1.427,0.031403352938139006,10,2020-11-29,2020-12-09
United Kingdom,United Kingdom,GBR,GBR,B,0.0736318407960199,United Kingdom_United Kingdom_B,0.13935550939323124,10,2020-02-24,2020-03-05
Alameda,California,06001,CA,B.1.427,0.0726643598615917,California_Alameda_B.1.427,-0.020910922805419625,10,2020-12-06,2020-12-16
Los Angeles,California,06037,CA,B.1.1.7,0.07216494845360824,California_Los Angeles_B.1.1.7,0.03219158694853939,10,2021-02-15,2021-02-25
Los Angeles,California,06037,CA,B.1.2,0.07216494845360824,California_Los Angeles_B.1.2,0.01695542644259169,10,2020-11-03,2020-11-13
Santa Clara,California,06085,CA,B,0.07216494845360824,California_Santa Clara_B,0.007688618515999451,10,2020-03-01,2020-03-11
Santa Clara,California,06085,CA,B.20,0.07216494845360824,California_Santa Clara_B.20,-0.11033285521399942,9,2020-04-05,2020-04-15
Bronx,New York,36005,NY,B.1.409,0.07179487179487179,New York_Bronx_B.1.409,-0.050689573307782905,8,2021-01-04,2021-01-14
South Africa,South Africa,ZAF,ZAF,B.1.1.273,0.0706713780918728,South Africa_South Africa_B.1.1.273,0.0650055876799935,10,2020-07-05,2020-07-15
South Africa,South Africa,ZAF,ZAF,B.1.1.448,0.0706713780918728,South Africa_South Africa_B.1.1.448,-0.025358754852902163,10,2020-06-08,2020-06-18
Massachusetts,Massachusetts,MA,MA,B.1.1.7,0.06993006993006994,Massachusetts_Massachusetts_B.1.1.7,0.07722731311922927,10,2021-01-17,2021-01-27
Alameda,California,06001,CA,B.1.1.376,0.06920415224913495,California_Alameda_B.1.1.376,-0.038600902277789034,10,2020-06-14,2020-06-24
Los Angeles,California,06037,CA,B.1.320,0.06701030927835051,California_Los Angeles_B.1.320,-0.07768725446434016,10,2020-04-05,2020-04-15
Massachusetts,Massachusetts,MA,MA,B.1.243,0.06643356643356643,Massachusetts_Massachusetts_B.1.243,-0.0756801815676898,10,2020-11-22,2020-12-02
